word,eraab,meaning
قصر,قِصِر,"(قَ صَ) [ ع. ]
۱- (مص ل.) کوتاه بودن.
۲- (اِمص.) کوتاهی، مق. طول، درازی."
قطر,قُطْر,"(قُ) [ ع. ] (اِ.)
۱- ناحیه، اقلیم.
۲- خطی که از مرکز دایره بگذرد و دو برابر شعاع است.
۳- ضخامت هر چیز. ج. اقطار."
قطر,قَطَر,
لخت,لَخْت,(لَ) (اِ.) جزو، نوع، قسم.
لخت,لُخْت,(لُ) (ص.) برهنه، عریان.
لختی,لَخْتی,"(لَ) (ق.)
۱- اندکی، کمی.
۲- بخشی، قسمتی."
لختی,لُخْتی,(لُ) (حامص.) برهنگی، عوری.  ؛ ~پُختی  برهنه و بی سر و پا.
لم,لَم,(لَ) (اِ.) حالتی بین دراز کشیدن و نشستن.
لم,لِم,(لِ) (اِ.) (عا.) فوت و فن کار، قِلِق کار.
لنگ,لَنگ,(لَ) (ص.) انسان یا حیوان که پایش آسیب دیده باشد و نتواند به درستی راه رود.
لنگ,لُنگ,(لُ) (اِ.) پارچه‌ای که در گرمابه به کمر بندند.
لنگ,لِنگ,(لِ) (اِ.) (عا.) هنگام، وقت.
مجاز,مَجاز,(مَ) [ ع. ] (اِ.) غیر حقیقت، استعمال کلمه‌ای در غیر معنی حقیقی خود به شرط آن که آن معنی از جهتی مناسبت با معنی اصلی داشته باشد.
مجاز,مُجاز,(مُ) [ ع. ] (اِمف.) اجازه داده شده.
مخلص,مَخلَص,(مَ لَ) [ ع. ] (اِ.) خلاصه.
مخلص,مُخلِص,(مُ لِ) [ ع. ] (اِفا.) خالص، صاف.
مراجع,مَراجِع,(مَ جِ) [ ع. ] (اِ.) جِ مرجع.  ؛ ~ تقلید مجتهدانی که مردم از آنان در احکام شرعی تقلید کنند.  ؛ ~ قانون  منابعی که قوانین از آن‌ها اقتباس و استنباط شده‌است.  ؛ ~قانونی  مؤسسات و اداراتی که بر طبق قانون برای مراجعه افراد به منظور تنظیم روابط افراد با همدیگر و روابط افراد با دولت تأسیس شده‌اند.
مراجع,مُراجِع,(مُ جِ) [ ع. ] (اِفا.) در تداول فارسی به معنای مراجعه کننده، رجوع کننده. ج. مراجعین.
مرد,مَرد,"(مَ) [ په. ] (اِ.)
۱- مقابل زن. ج. مردان.
۲- کنایه از: شجاع، دلیر، بخشنده."
مرد,مُرد,(مُ) (اِمص.) مردن، مرگ.
مشک,مَشک,(مَ) [ په. ] (اِ.)= مشگ: خیک، پوست گوسفندی که آن را قالبی کنده باشند.
مشک,مُشک,(مُ) (اِ.) ماده سیاه رنگ و خوشبویی که در ناف آهوی مشک تولید می‌شود.
ملک,مَلَک,(مَ لَ) [ ع. ] (اِ.) فرشته. ج. ملایک، ملایکه.
ملک,مُلْک,"(مُ) [ ع. ] (اِ.)
۱- پادشاهی.
۲- بزرگی، عظمت."
ملک,مِلْک,"(مِ) [ ع. ]
۱- (اِ.) آنچه در تصرف شخص باشد.
۲- زمین متعلق به شخص."
من,مَن,(مَ) (اِ.) واحدی برای وزن برابر با سه کیلوگرم.
من,مِن,(مِ) [ ع. ] (حرف جر، حراض.) از.
